[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]
[4, 4, 4, 2, 2, 2, 2, 2, 2, 1, 1]
[8, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1]
[12, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
[14, 14, 14, 14, 14, 14, 13, 13, 13, 13, 1]
[14, 14, 14, 14, 14, 13, 13, 13, 13, 1, 1]
[28, 14, 14, 14, 13, 13, 13, 13, 1, 1, 1]
[14, 14, 14, 13, 13, 13, 13, 1, 1, 1, 1]
[14, 14, 13, 13, 13, 13, 1, 1, 1, 1, 1]
[28, 27, 27, 27, 27, 15, 15, 1, 1, 1, 1]
[55, 55, 55, 55, 43, 43, 1, 1, 1, 1, 1]
[110, 110, 55, 43, 43, 1, 1, 1, 1, 1, 1]
[220, 165, 153, 153, 111, 1, 1, 1, 1, 1, 1]
[385, 373, 373, 331, 221, 1, 1, 1, 1, 1, 1]
[758, 373, 331, 221, 1, 1, 1, 1, 1, 1, 1]
[1131, 1089, 979, 1, 1, 1, 1, 1, 1, 1, 1]
[2220, 2110, 1132, 1, 1, 1, 1, 1, 1, 1, 1]
[4330, 3352, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[3352, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]
[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1]
[8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 1]
[16, 16, 16, 16, 16, 16, 16, 15, 13, 9, 1]
[32, 32, 32, 32, 32, 32, 31, 29, 25, 17, 1]
[64, 64, 64, 64, 64, 63, 61, 57, 49, 33, 1]
[128, 128, 64, 64, 63, 61, 57, 49, 33, 1, 1]
[256, 192, 192, 191, 189, 185, 49, 33, 1, 1, 1]
[448, 448, 447, 445, 441, 305, 289, 257, 257, 1, 1]
[448, 447, 445, 441, 305, 289, 257, 257, 1, 1, 1]
[895, 893, 889, 753, 737, 705, 705, 1, 1, 1, 1]
[1788, 1784, 1648, 1632, 1600, 705, 1, 1, 1, 1, 1]
[3572, 3436, 3420, 1600, 705, 1, 1, 1, 1, 1, 1]
[7008, 6992, 5172, 4277, 1, 1, 1, 1, 1, 1, 1]
[6992, 5172, 4277, 1, 1, 1, 1, 1, 1, 1, 1]
[12164, 11269, 6993, 6993, 1, 1, 1, 1, 1, 1, 1]
[23433, 19157, 19157, 12165, 1, 1, 1, 1, 1, 1, 1]
[42590, 19157, 12165, 1, 1, 1, 1, 1, 1, 1, 1]
[19157, 12165, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[12165, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
